,ngram,annotated hyponyms
94,dolphin,n02070174 n02068974 n02069974 n02071028 n02070776 n02070430 n02069412 n02070624 n02069701 n02071636 n02072040 n02071294 n02072798
95,CAT,n02126317 n02124157 n02125311 n02124075 n02125689 n02122725 n02127586 n02123917 n02122878 n02123159 n02123045 n02127678 n02124623 n02127052 n02127292 n02125081 n02126139 n02127482 n02125872 n02125010 n02126028 n02124484 n02121620 n02125494 n02124313 n02122810 n02123478 n02126787 n02122510 n02127381 n02123242 n02121808 n02122298 n02123394 n02123785 n02123597 n02126640 n02122430
96,parachute,n03245421 n03888257 n03245271 n03889726
97,carrot,n07730207
99,airplane,n02867715 n03215191 n03809312 n03595860 n04308273 n02690373 n02842573 n04222723 n03174079 n03490784 n03365231 n04583620 n03373611 n03604311 n04012084 n03596543 n02691156 n03577672 n03783873 n04160586 n04308397 n03321419 n02704645 n04012482 n02686121 n03798610 n04230487 n04389999 n03335030 n04503499 n04062644
100,dress,n03062015 n04136161 n03978815 n03450230 n03788914 n04355511 n02781121 n03604400 n03619196 n03786096 n03013438 n04334105 n03057724 n02898585 n02936570 n04397645 n04197878 n03205574 n03236735 n03201638
101,flying bird,n01517966
102,skirt,n04231272
104,machine,n03426574 n04595285 n02911332 n02786837 n03169063 n06359657 n03087069 n02938886 n02900987 n02872333 n04303357 n03250588 n03485407 n03784139 n03672827 n03000684 n04238763 n04095577 n04310604 n03832673 n03918074 n03571942 n03452267 n04346855 n03194170 n03997484 n04265904 n03596285 n03422771 n03642806 n03616763 n04110841 n03956785 n03075634 n03694356 n03598783 n03034663 n03225777 n04428191 n03765561 n04477219 n03337494 n02708224 n02666196 n03996416 n04498523 n04110654 n03565710 n03424630 n03287733 n04175147 n04027820 n03643737 n04174101 n04275093 n04057435 n04142175 n03288643 n04237423 n04430605 n02967540 n04314632 n03160186 n03551395 n04243546 n04114719 n04004767 n04051269 n04608809 n03236217 n03210245 n04300509 n03483823 n04000311 n03012644 n03999992 n03789946 n03418915 n03834472 n03995372 n04561422 n03770224 n02700064 n03496892 n04498873 n04572235 n03415626 n03674731 n03604156 n03736064 n02977058 n04057673 n04419868 n04033801 n03583419 n04040373 n04303497 n03433877 n03399971 n03240892 n04591517 n03711711 n03180011 n03075248 n02761557 n03273061 n03109033 n02679961 n04603399 n03874823 n03336168 n04592356 n04541777 n04243941 n02749790 n03082979 n03528523 n03859000 n04062179 n02760199 n02679257 n04302200 n04549721 n04279063 n03955296 n04587404 n04587559 n03519848 n04035231 n02679142 n06359193 n03460040 n04504770 n03563200 n02769290 n03307573 n03240140 n04140777 n04184435 n03689157 n03708425 n03985069 n03936466 n02689434 n04417180 n04613939 n03496612 n04525305 n04279462 n03360431 n03280644 n03368048 n04064401 n04261116 n03579982 n03063485 n03701640 n04121728 n03971321 n03764995 n04309049 n03196324 n03995661 n04348988 n04483925 n03193107 n04533499 n03699975 n03170459 n02923915 n03029925 n03000530 n03675235 n04358117 n03890514 n03460899 n03272125 n04099175 n02762909 n03552449 n02687423 n02829510 n03250405 n03702248 n03363363 n03591592 n04179913 n04594114 n04278932 n04519728 n03116767 n03646296 n03710937 n03388990 n04279172 n04221823 n03481521 n03392741 n04310507 n04252653 n04505036 n03985232 n03146846 n03260504 n04024274 n04375615 n04304375 n06359467 n02829596 n03799240 n03766044 n03274435 n03007591 n04021362 n03500699 n03918480 n03321103 n02909285 n04004475 n03985441 n03807334 n03914337 n02794664 n03996145 n04380916 n03502777 n03487331 n04404200 n03322940 n03507963 n03901229 n03625539 n04170515 n03392648
105,lamp,n03622401 n04534895 n04384910 n04126852 n03636248 n03590841 n03272383 n02735361 n04121228 n04256318 n03203089 n03665924 n03358172 n02694279 n03018712 n03640988 n02948072 n03818343 n03911767 n03844045 n03549897 n04286575 n02961947 n04280373 n04242084 n03271376 n03423877 n03005515 n03370387 n04335886 n03359137 n03162297 n03206023
